Date,City,Item,Category,Price
2026-01-01,Karachi,Flour,Essentials,161
2026-01-01,Karachi,Sugar,Essentials,141
2026-01-01,Karachi,Rice,Essentials,165
2026-01-01,Karachi,Milk,Essentials,257
2026-01-01,Karachi,Eggs,Essentials,306
2026-01-01,Karachi,Bread,Essentials,67
2026-01-01,Karachi,Petrol,Fuel,280
2026-01-01,Karachi,Diesel,Fuel,251
2026-01-01,Karachi,Onion,Vegetables,50
2026-01-01,Karachi,Tomato,Vegetables,90
2026-01-01,Karachi,Potato,Vegetables,52
2026-01-01,Karachi,Chicken,Protein,538
2026-01-01,Karachi,Meat,Protein,1161
2026-01-01,Karachi,Cooking Oil,Others,484
2026-01-01,Karachi,Tea,Others,1711
2026-01-01,Lahore,Flour,Essentials,144
2026-01-01,Lahore,Sugar,Essentials,153
2026-01-01,Lahore,Rice,Essentials,163
2026-01-01,Lahore,Milk,Essentials,254
2026-01-01,Lahore,Eggs,Essentials,308
2026-01-01,Lahore,Bread,Essentials,73
2026-01-01,Lahore,Petrol,Fuel,272
2026-01-01,Lahore,Diesel,Fuel,244
2026-01-01,Lahore,Onion,Vegetables,80
2026-01-01,Lahore,Tomato,Vegetables,72
2026-01-01,Lahore,Potato,Vegetables,46
2026-01-01,Lahore,Chicken,Protein,500
2026-01-01,Lahore,Meat,Protein,1065
2026-01-01,Lahore,Cooking Oil,Others,481
2026-01-01,Lahore,Tea,Others,1627
2026-01-01,Islamabad,Flour,Essentials,165
2026-01-01,Islamabad,Sugar,Essentials,152
2026-01-01,Islamabad,Rice,Essentials,151
2026-01-01,Islamabad,Milk,Essentials,246
2026-01-01,Islamabad,Eggs,Essentials,334
2026-01-01,Islamabad,Bread,Essentials,72
2026-01-01,Islamabad,Petrol,Fuel,277
2026-01-01,Islamabad,Diesel,Fuel,249
2026-01-01,Islamabad,Onion,Vegetables,86
2026-01-01,Islamabad,Tomato,Vegetables,54
2026-01-01,Islamabad,Potato,Vegetables,49
2026-01-01,Islamabad,Chicken,Protein,537
2026-01-01,Islamabad,Meat,Protein,1135
2026-01-01,Islamabad,Cooking Oil,Others,491
2026-01-01,Islamabad,Tea,Others,1697
2026-01-01,Faisalabad,Flour,Essentials,147
2026-01-01,Faisalabad,Sugar,Essentials,140
2026-01-01,Faisalabad,Rice,Essentials,157
2026-01-01,Faisalabad,Milk,Essentials,238
2026-01-01,Faisalabad,Eggs,Essentials,319
2026-01-01,Faisalabad,Bread,Essentials,58
2026-01-01,Faisalabad,Petrol,Fuel,267
2026-01-01,Faisalabad,Diesel,Fuel,239
2026-01-01,Faisalabad,Onion,Vegetables,59
2026-01-01,Faisalabad,Tomato,Vegetables,87
2026-01-01,Faisalabad,Potato,Vegetables,43
2026-01-01,Faisalabad,Chicken,Protein,535
2026-01-01,Faisalabad,Meat,Protein,1124
2026-01-01,Faisalabad,Cooking Oil,Others,463
2026-01-01,Faisalabad,Tea,Others,1623
2026-01-01,Rawalpindi,Flour,Essentials,155
2026-01-01,Rawalpindi,Sugar,Essentials,135
2026-01-01,Rawalpindi,Rice,Essentials,157
2026-01-01,Rawalpindi,Milk,Essentials,249
2026-01-01,Rawalpindi,Eggs,Essentials,299
2026-01-01,Rawalpindi,Bread,Essentials,75
2026-01-01,Rawalpindi,Petrol,Fuel,269
2026-01-01,Rawalpindi,Diesel,Fuel,242
2026-01-01,Rawalpindi,Onion,Vegetables,65
2026-01-01,Rawalpindi,Tomato,Vegetables,71
2026-01-01,Rawalpindi,Potato,Vegetables,60
2026-01-01,Rawalpindi,Chicken,Protein,532
2026-01-01,Rawalpindi,Meat,Protein,1050
2026-01-01,Rawalpindi,Cooking Oil,Others,472
2026-01-01,Rawalpindi,Tea,Others,1661
2026-01-01,Multan,Flour,Essentials,144
2026-01-01,Multan,Sugar,Essentials,154
2026-01-01,Multan,Rice,Essentials,137
2026-01-01,Multan,Milk,Essentials,237
2026-01-01,Multan,Eggs,Essentials,300
2026-01-01,Multan,Bread,Essentials,66
2026-01-01,Multan,Petrol,Fuel,264
2026-01-01,Multan,Diesel,Fuel,237
2026-01-01,Multan,Onion,Vegetables,68
2026-01-01,Multan,Tomato,Vegetables,64
2026-01-01,Multan,Potato,Vegetables,58
2026-01-01,Multan,Chicken,Protein,492
2026-01-01,Multan,Meat,Protein,1104
2026-01-01,Multan,Cooking Oil,Others,464
2026-01-01,Multan,Tea,Others,1566
2026-01-01,Peshawar,Flour,Essentials,159
2026-01-01,Peshawar,Sugar,Essentials,137
2026-01-01,Peshawar,Rice,Essentials,145
2026-01-01,Peshawar,Milk,Essentials,251
2026-01-01,Peshawar,Eggs,Essentials,314
